image_path,relative_path,dataset,location,top_category,confidence,is_empty,fish,coral,marine_animal,vegetation,sand_seafloor,rocks,shipwreck_debris,man_made_structure,diver,open_water,murky_turbid,dark_overexposed,blurry_corrupt
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00001.png,2023-09-03-07-58-37/camera/00001.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4632,True,0.0000,0.0006,0.0001,0.0011,0.0017,0.0028,0.2557,0.2243,0.0002,0.0271,0.4632,0.0044,0.0188
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00002.png,2023-09-03-07-58-37/camera/00002.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4135,True,0.0000,0.0004,0.0001,0.0008,0.0011,0.0027,0.2642,0.2772,0.0002,0.0198,0.4135,0.0034,0.0164
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00003.png,2023-09-03-07-58-37/camera/00003.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4692,True,0.0000,0.0006,0.0002,0.0011,0.0010,0.0025,0.2769,0.1774,0.0003,0.0318,0.4692,0.0085,0.0304
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00004.png,2023-09-03-07-58-37/camera/00004.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5057,True,0.0001,0.0004,0.0002,0.0012,0.0011,0.0022,0.2166,0.1769,0.0003,0.0416,0.5057,0.0112,0.0425
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00005.png,2023-09-03-07-58-37/camera/00005.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5158,True,0.0000,0.0015,0.0001,0.0020,0.0029,0.0051,0.1690,0.2137,0.0002,0.0503,0.5158,0.0099,0.0295
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00006.png,2023-09-03-07-58-37/camera/00006.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4637,True,0.0000,0.0015,0.0001,0.0023,0.0018,0.0051,0.2440,0.1946,0.0003,0.0407,0.4637,0.0117,0.0342
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00007.png,2023-09-03-07-58-37/camera/00007.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.6008,False,0.0000,0.0003,0.0002,0.0009,0.0006,0.0021,0.6008,0.1392,0.0003,0.0130,0.2122,0.0055,0.0248
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00008.png,2023-09-03-07-58-37/camera/00008.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5336,False,0.0001,0.0003,0.0003,0.0010,0.0007,0.0017,0.5336,0.2001,0.0013,0.0155,0.2173,0.0078,0.0202
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00009.png,2023-09-03-07-58-37/camera/00009.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.4768,False,0.0001,0.0003,0.0003,0.0012,0.0008,0.0021,0.4768,0.1352,0.0008,0.0261,0.3071,0.0132,0.0361
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00010.png,2023-09-03-07-58-37/camera/00010.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4938,True,0.0001,0.0004,0.0003,0.0009,0.0012,0.0016,0.2610,0.1456,0.0005,0.0446,0.4938,0.0174,0.0326
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00011.png,2023-09-03-07-58-37/camera/00011.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.3573,False,0.0000,0.0006,0.0002,0.0010,0.0010,0.0025,0.3573,0.2490,0.0004,0.0375,0.3085,0.0115,0.0304
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00012.png,2023-09-03-07-58-37/camera/00012.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5422,True,0.0001,0.0004,0.0002,0.0010,0.0009,0.0018,0.2504,0.1053,0.0006,0.0381,0.5422,0.0174,0.0417
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00013.png,2023-09-03-07-58-37/camera/00013.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5527,True,0.0001,0.0005,0.0002,0.0011,0.0007,0.0018,0.2457,0.0913,0.0004,0.0435,0.5527,0.0156,0.0464
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00014.png,2023-09-03-07-58-37/camera/00014.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3662,True,0.0001,0.0006,0.0002,0.0015,0.0017,0.0027,0.2871,0.1999,0.0004,0.0760,0.3662,0.0199,0.0436
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00015.png,2023-09-03-07-58-37/camera/00015.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.4631,False,0.0000,0.0002,0.0001,0.0005,0.0007,0.0009,0.4631,0.1435,0.0006,0.0381,0.3066,0.0147,0.0307
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00016.png,2023-09-03-07-58-37/camera/00016.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4090,True,0.0001,0.0009,0.0001,0.0007,0.0010,0.0041,0.3678,0.1256,0.0006,0.0360,0.4090,0.0144,0.0397
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00017.png,2023-09-03-07-58-37/camera/00017.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.3890,False,0.0000,0.0006,0.0001,0.0004,0.0010,0.0070,0.3890,0.3286,0.0004,0.0264,0.2095,0.0083,0.0287
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00018.png,2023-09-03-07-58-37/camera/00018.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4430,True,0.0000,0.0001,0.0001,0.0003,0.0008,0.0016,0.3272,0.1643,0.0006,0.0302,0.4430,0.0080,0.0239
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00019.png,2023-09-03-07-58-37/camera/00019.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.5318,False,0.0000,0.0005,0.0001,0.0005,0.0006,0.0034,0.2271,0.5318,0.0004,0.0167,0.1971,0.0039,0.0178
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00020.png,2023-09-03-07-58-37/camera/00020.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.4408,False,0.0000,0.0005,0.0001,0.0006,0.0008,0.0052,0.4408,0.3103,0.0005,0.0199,0.1829,0.0061,0.0323
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00021.png,2023-09-03-07-58-37/camera/00021.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3778,False,0.0000,0.0004,0.0000,0.0006,0.0009,0.0056,0.3433,0.3778,0.0006,0.0181,0.2234,0.0049,0.0244
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00022.png,2023-09-03-07-58-37/camera/00022.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3305,False,0.0001,0.0005,0.0001,0.0008,0.0008,0.0041,0.3193,0.3305,0.0005,0.0281,0.2795,0.0085,0.0272
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00023.png,2023-09-03-07-58-37/camera/00023.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.7109,False,0.0000,0.0001,0.0000,0.0004,0.0004,0.0012,0.7109,0.0961,0.0005,0.0116,0.1509,0.0055,0.0224
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00024.png,2023-09-03-07-58-37/camera/00024.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5063,False,0.0000,0.0001,0.0001,0.0007,0.0003,0.0016,0.5063,0.3057,0.0005,0.0069,0.1611,0.0028,0.0138
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00025.png,2023-09-03-07-58-37/camera/00025.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3740,True,0.0000,0.0004,0.0001,0.0018,0.0005,0.0033,0.2534,0.3327,0.0004,0.0122,0.3740,0.0048,0.0164
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00026.png,2023-09-03-07-58-37/camera/00026.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3804,False,0.0000,0.0004,0.0001,0.0014,0.0006,0.0039,0.2826,0.3804,0.0006,0.0107,0.2886,0.0055,0.0251
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00027.png,2023-09-03-07-58-37/camera/00027.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.4833,False,0.0001,0.0015,0.0001,0.0017,0.0006,0.0073,0.1670,0.4833,0.0006,0.0299,0.2585,0.0099,0.0395
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00028.png,2023-09-03-07-58-37/camera/00028.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3989,False,0.0001,0.0016,0.0001,0.0013,0.0017,0.0089,0.2048,0.3989,0.0005,0.0551,0.2652,0.0161,0.0458
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00029.png,2023-09-03-07-58-37/camera/00029.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3876,False,0.0001,0.0014,0.0001,0.0026,0.0011,0.0108,0.1933,0.3876,0.0006,0.0200,0.3397,0.0064,0.0364
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00030.png,2023-09-03-07-58-37/camera/00030.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3852,True,0.0001,0.0007,0.0001,0.0026,0.0021,0.0065,0.2267,0.3057,0.0005,0.0226,0.3852,0.0102,0.0370
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00031.png,2023-09-03-07-58-37/camera/00031.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4868,True,0.0000,0.0006,0.0001,0.0023,0.0016,0.0045,0.1552,0.2676,0.0004,0.0296,0.4868,0.0109,0.0402
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00032.png,2023-09-03-07-58-37/camera/00032.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3849,True,0.0001,0.0012,0.0002,0.0019,0.0035,0.0122,0.2485,0.2575,0.0008,0.0385,0.3849,0.0116,0.0391
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00033.png,2023-09-03-07-58-37/camera/00033.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.3275,False,0.0001,0.0006,0.0001,0.0011,0.0014,0.0085,0.3275,0.2554,0.0004,0.0370,0.3123,0.0108,0.0447
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00034.png,2023-09-03-07-58-37/camera/00034.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3637,True,0.0001,0.0005,0.0002,0.0014,0.0026,0.0059,0.3553,0.1603,0.0004,0.0285,0.3637,0.0143,0.0668
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00035.png,2023-09-03-07-58-37/camera/00035.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4348,True,0.0001,0.0009,0.0001,0.0020,0.0015,0.0078,0.2464,0.2077,0.0010,0.0258,0.4348,0.0142,0.0577
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00036.png,2023-09-03-07-58-37/camera/00036.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5286,True,0.0001,0.0003,0.0001,0.0011,0.0014,0.0030,0.2064,0.1604,0.0006,0.0273,0.5286,0.0161,0.0546
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00037.png,2023-09-03-07-58-37/camera/00037.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4598,True,0.0001,0.0003,0.0001,0.0011,0.0018,0.0051,0.2216,0.1956,0.0009,0.0379,0.4598,0.0166,0.0591
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00038.png,2023-09-03-07-58-37/camera/00038.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.3727,False,0.0001,0.0005,0.0002,0.0012,0.0018,0.0060,0.3727,0.1728,0.0006,0.0278,0.3532,0.0125,0.0508
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00039.png,2023-09-03-07-58-37/camera/00039.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.3920,False,0.0001,0.0008,0.0001,0.0014,0.0018,0.0137,0.3920,0.2042,0.0008,0.0345,0.2881,0.0140,0.0486
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00040.png,2023-09-03-07-58-37/camera/00040.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3253,False,0.0001,0.0006,0.0001,0.0011,0.0013,0.0061,0.2406,0.3253,0.0007,0.0387,0.3034,0.0153,0.0669
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00041.png,2023-09-03-07-58-37/camera/00041.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4256,True,0.0001,0.0016,0.0001,0.0033,0.0014,0.0083,0.2574,0.2190,0.0006,0.0249,0.4256,0.0118,0.0458
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00042.png,2023-09-03-07-58-37/camera/00042.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5312,True,0.0001,0.0019,0.0001,0.0039,0.0016,0.0109,0.0651,0.2833,0.0006,0.0351,0.5312,0.0129,0.0533
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00043.png,2023-09-03-07-58-37/camera/00043.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.6136,True,0.0001,0.0016,0.0001,0.0026,0.0019,0.0068,0.0815,0.2210,0.0004,0.0287,0.6136,0.0112,0.0304
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00044.png,2023-09-03-07-58-37/camera/00044.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5245,True,0.0001,0.0016,0.0001,0.0023,0.0008,0.0090,0.0798,0.1866,0.0005,0.0331,0.5245,0.0244,0.1371
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00045.png,2023-09-03-07-58-37/camera/00045.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.4143,False,0.0001,0.0014,0.0001,0.0026,0.0013,0.0121,0.1855,0.4143,0.0007,0.0277,0.2792,0.0176,0.0576
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00046.png,2023-09-03-07-58-37/camera/00046.png,sunboat,2023-09-03-07-58-37,man_made_structure,0.3682,False,0.0001,0.0004,0.0001,0.0012,0.0008,0.0057,0.1751,0.3682,0.0007,0.0388,0.3213,0.0191,0.0685
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00047.png,2023-09-03-07-58-37/camera/00047.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4713,True,0.0001,0.0013,0.0001,0.0038,0.0018,0.0244,0.1588,0.1972,0.0008,0.0384,0.4713,0.0219,0.0802
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00048.png,2023-09-03-07-58-37/camera/00048.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3502,True,0.0001,0.0010,0.0001,0.0023,0.0013,0.0147,0.2851,0.2165,0.0006,0.0261,0.3502,0.0223,0.0797
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00049.png,2023-09-03-07-58-37/camera/00049.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3162,True,0.0001,0.0014,0.0002,0.0020,0.0018,0.0129,0.1822,0.3075,0.0012,0.0529,0.3162,0.0355,0.0860
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00050.png,2023-09-03-07-58-37/camera/00050.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3583,True,0.0001,0.0010,0.0001,0.0029,0.0020,0.0172,0.2716,0.2428,0.0008,0.0355,0.3583,0.0192,0.0484
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00051.png,2023-09-03-07-58-37/camera/00051.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4060,True,0.0001,0.0006,0.0001,0.0016,0.0013,0.0089,0.1401,0.2941,0.0008,0.0520,0.4060,0.0275,0.0668
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00052.png,2023-09-03-07-58-37/camera/00052.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3675,True,0.0001,0.0005,0.0001,0.0011,0.0014,0.0062,0.1209,0.3071,0.0010,0.0726,0.3675,0.0406,0.0809
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00053.png,2023-09-03-07-58-37/camera/00053.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4001,True,0.0001,0.0005,0.0001,0.0016,0.0008,0.0071,0.1503,0.3329,0.0005,0.0215,0.4001,0.0150,0.0696
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00054.png,2023-09-03-07-58-37/camera/00054.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4164,True,0.0001,0.0015,0.0001,0.0051,0.0013,0.0194,0.2414,0.1998,0.0008,0.0233,0.4164,0.0179,0.0727
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00055.png,2023-09-03-07-58-37/camera/00055.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.4590,True,0.0001,0.0005,0.0001,0.0018,0.0008,0.0040,0.2156,0.1906,0.0004,0.0315,0.4590,0.0190,0.0766
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00056.png,2023-09-03-07-58-37/camera/00056.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.5051,True,0.0001,0.0004,0.0001,0.0020,0.0007,0.0044,0.2178,0.1493,0.0005,0.0211,0.5051,0.0224,0.0761
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00057.png,2023-09-03-07-58-37/camera/00057.png,sunboat,2023-09-03-07-58-37,murky_turbid,0.3852,True,0.0001,0.0006,0.0001,0.0045,0.0007,0.0048,0.3681,0.1433,0.0006,0.0217,0.3852,0.0147,0.0557
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00058.png,2023-09-03-07-58-37/camera/00058.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5201,False,0.0001,0.0004,0.0001,0.0023,0.0018,0.0099,0.5201,0.1655,0.0007,0.0219,0.2301,0.0102,0.0369
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00059.png,2023-09-03-07-58-37/camera/00059.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5758,False,0.0001,0.0004,0.0001,0.0025,0.0009,0.0074,0.5758,0.0513,0.0003,0.0146,0.2565,0.0143,0.0758
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00060.png,2023-09-03-07-58-37/camera/00060.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.6178,False,0.0001,0.0003,0.0001,0.0019,0.0008,0.0064,0.6178,0.1198,0.0003,0.0141,0.1719,0.0086,0.0578
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00061.png,2023-09-03-07-58-37/camera/00061.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5484,False,0.0001,0.0001,0.0001,0.0013,0.0015,0.0029,0.5484,0.1146,0.0005,0.0260,0.2451,0.0092,0.0501
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00062.png,2023-09-03-07-58-37/camera/00062.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.4452,False,0.0001,0.0002,0.0001,0.0013,0.0014,0.0017,0.4452,0.0791,0.0005,0.0306,0.3637,0.0132,0.0629
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00063.png,2023-09-03-07-58-37/camera/00063.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5629,False,0.0001,0.0001,0.0001,0.0006,0.0015,0.0015,0.5629,0.0750,0.0004,0.0272,0.2911,0.0077,0.0315
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00064.png,2023-09-03-07-58-37/camera/00064.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.7223,False,0.0001,0.0002,0.0000,0.0007,0.0007,0.0026,0.7223,0.0931,0.0003,0.0091,0.1389,0.0053,0.0267
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00065.png,2023-09-03-07-58-37/camera/00065.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.6065,False,0.0001,0.0001,0.0001,0.0009,0.0011,0.0020,0.6065,0.0813,0.0004,0.0138,0.2538,0.0054,0.0344
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00066.png,2023-09-03-07-58-37/camera/00066.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5427,False,0.0001,0.0001,0.0001,0.0009,0.0007,0.0016,0.5427,0.1094,0.0006,0.0146,0.2612,0.0084,0.0594
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00067.png,2023-09-03-07-58-37/camera/00067.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.7067,False,0.0001,0.0000,0.0001,0.0007,0.0011,0.0018,0.7067,0.1134,0.0002,0.0064,0.1435,0.0033,0.0227
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00068.png,2023-09-03-07-58-37/camera/00068.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5587,False,0.0002,0.0002,0.0003,0.0013,0.0020,0.0044,0.5587,0.1399,0.0007,0.0110,0.2391,0.0055,0.0368
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00069.png,2023-09-03-07-58-37/camera/00069.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5412,False,0.0001,0.0001,0.0001,0.0005,0.0027,0.0024,0.5412,0.2058,0.0005,0.0217,0.1841,0.0098,0.0308
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00070.png,2023-09-03-07-58-37/camera/00070.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.4735,False,0.0003,0.0001,0.0002,0.0006,0.0046,0.0012,0.4735,0.1011,0.0003,0.0295,0.3512,0.0106,0.0268
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00071.png,2023-09-03-07-58-37/camera/00071.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.7605,False,0.0001,0.0001,0.0001,0.0004,0.0026,0.0011,0.7605,0.0961,0.0002,0.0058,0.1178,0.0019,0.0134
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00072.png,2023-09-03-07-58-37/camera/00072.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5885,False,0.0002,0.0001,0.0002,0.0005,0.0081,0.0012,0.5885,0.1328,0.0004,0.0242,0.2064,0.0069,0.0302
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00073.png,2023-09-03-07-58-37/camera/00073.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.6102,False,0.0002,0.0001,0.0002,0.0004,0.0039,0.0019,0.6102,0.1052,0.0003,0.0220,0.2189,0.0077,0.0290
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-07-58-37/camera/00074.png,2023-09-03-07-58-37/camera/00074.png,sunboat,2023-09-03-07-58-37,shipwreck_debris,0.5035,False,0.0003,0.0001,0.0002,0.0004,0.0028,0.0019,0.5035,0.1575,0.0004,0.0206,0.2658,0.0076,0.0390
