image_path,relative_path,dataset,location,top_category,confidence,is_empty,fish,coral,marine_animal,vegetation,sand_seafloor,rocks,shipwreck_debris,man_made_structure,diver,open_water,murky_turbid,dark_overexposed,blurry_corrupt
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03895.png,2023-09-03-11-37-57/camera/03895.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.8001,False,0.0000,0.0008,0.0000,0.0011,0.0018,0.0193,0.8001,0.1574,0.0002,0.0012,0.0132,0.0008,0.0041
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03896.png,2023-09-03-11-37-57/camera/03896.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.8276,False,0.0000,0.0008,0.0001,0.0019,0.0019,0.0122,0.8276,0.1316,0.0002,0.0009,0.0169,0.0009,0.0049
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03897.png,2023-09-03-11-37-57/camera/03897.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6690,False,0.0000,0.0005,0.0000,0.0005,0.0021,0.0079,0.6690,0.2934,0.0004,0.0017,0.0147,0.0015,0.0082
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03898.png,2023-09-03-11-37-57/camera/03898.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7980,False,0.0000,0.0006,0.0000,0.0007,0.0020,0.0090,0.7980,0.1668,0.0002,0.0009,0.0138,0.0010,0.0068
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03899.png,2023-09-03-11-37-57/camera/03899.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6627,False,0.0000,0.0013,0.0000,0.0009,0.0014,0.0125,0.6627,0.2671,0.0007,0.0034,0.0284,0.0031,0.0183
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03900.png,2023-09-03-11-37-57/camera/03900.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6153,False,0.0000,0.0010,0.0000,0.0009,0.0013,0.0126,0.6153,0.3280,0.0011,0.0032,0.0229,0.0028,0.0110
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03901.png,2023-09-03-11-37-57/camera/03901.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5649,False,0.0000,0.0009,0.0000,0.0005,0.0014,0.0103,0.5649,0.3747,0.0007,0.0035,0.0246,0.0043,0.0141
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03902.png,2023-09-03-11-37-57/camera/03902.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7185,False,0.0000,0.0010,0.0000,0.0010,0.0012,0.0185,0.7185,0.2182,0.0005,0.0022,0.0241,0.0027,0.0122
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03903.png,2023-09-03-11-37-57/camera/03903.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6428,False,0.0000,0.0010,0.0000,0.0013,0.0009,0.0130,0.6428,0.3153,0.0003,0.0009,0.0182,0.0009,0.0055
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03904.png,2023-09-03-11-37-57/camera/03904.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7990,False,0.0000,0.0003,0.0000,0.0005,0.0004,0.0086,0.7990,0.1820,0.0002,0.0004,0.0063,0.0004,0.0020
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03905.png,2023-09-03-11-37-57/camera/03905.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6958,False,0.0000,0.0010,0.0000,0.0015,0.0013,0.0213,0.6958,0.2344,0.0004,0.0014,0.0307,0.0017,0.0104
